0urufudoggo.theescort-name|[Beta] El Escolta
urufudoggo.theescort-description|Un mod que agrega al Escolta y a su cría de gato-babosa más especial.<LINE><LINE>Este implementa actualmente al Escolta y algunas de sus habilidades y técnicas de movimiento.<LINE>DEBERÍA ser completamente compatible para jugar en otras campañas y en el modo Arena.<LINE><LINE>¡Cualquier tipo de feedback es ALTAMENTE valorado!
THE ESCORT|EL ESCOLTA
The Escort|El escolta
Escort|Escolta
A guardian from a faraway land, entrusted to bring a special creature through the thick and thin.|Un guardián de una tierra lejana, al que se le confió la tarea<LINE>de llevar a una criatura especial contra viento y marea.
THE CHILD|EL NIÑO
The Child|El niño
Child|Niño
you shouldn't be seeing this >:( <LINE>... although there may be a secret to unlocking this campaign earlier than intended...<LINE>Shh! Keep quiet!|no deberías estar viendo esto >:( <LINE>... aunque puede que haya un secreto para desbloquear esta campaña antes de lo previsto...<LINE>¡Shh! ¡No le cuentes a nadie!
Hide|Ocultar
hide|oculto
Show With Map|Mostrar con el mapa
Show When Relevant|Mostrar cuando sea relevante
Always Show|Mostrar siempre
always|siempre
Bottom Left|Inferior izquierda
botleft|inferior izq.
Bottom Middle|Inferior medio
botmid|inferior med.
Left Stacked|Apilado a la izquerda
leftstack|apilado izq.
Default|Predeterminado
Brawler|Luchador
Deflector|Desviador
Escapist|Escapista
Railgunner|Artillero
Speedster|Velocista
Gilded|Dorado
Barbarian|Bárbaro
Unstable|Inestable
 (| (
=<DEF>|=<DEF>
, |, 
Vanilla|Vanilla
=<NORM>|=<NORM>
)|)
Hmm? What's this?|¿Eh? ¿Qué es esto?
escoptions_hypecheckbox_desc|Activa/desactiva la mecánica de Hipercombate del Escolta.
escoptions_hypeslider_desc|Determina qué tan permisivos son los requisitos del Hipercombate.
escoptions_hypeselect_b|1=Cansancio del 50%
escoptions_hypeselect_c|2=Cansancio del 66%
escoptions_hypeselect_d|3=Cansancio del 75%
escoptions_hypeselect_e|4=Cansancio del 80%
escoptions_hypeselect_f|5=Cansancio del 87%
escoptions_hypeselect_g|6=Cansancio del 92%
escoptions_hypeselect_a|0=Siempre activo
escoptions_sillysfx_desc|Reemplaza algunos efectos de sonido que, por un lado arruinarán la inmersión, pero por el otro... jeje, ruiditos.
escoptions_noflipsfx_text|Desactivar «Sick flip»
escoptions_noflipsfx_desc|Desactiva el efecto de sonido tonto de «Sick flip» en el caso de que se vuelva molesto.
escoptions_buildeasy_desc|Activar la habilidad de hacer una patada voladora pulsando Saltar + Agarrar en el aire para el <REPLACE>.
Player|Jugador
escoptions_moreplayerbuilds_text|vvv Configura los estilos para más de 4 jugadores vvv
escoptions_custombinds_desc|<REPLACE> el botón personalizado del J
Allow|Permitir
Set|Establecer
Reset Keybind|Reiniciar botón
Reset|Reiniciar
escoptions_custombinds_text|Botón personalizado del Escolta
Main|Principal
Builds|Estilos
Gimmicks|Chucherías
Accessibility|Accesibilidad
Options|Opciones
Challenges|Desafíos
escoptions_options|Estas opciones cambian las habilidades principales y la jugabilidad del Escolta.<LINE>Puedes encontrar el modo fácil y los estilos en ESTILOS, y travesuras adicionales en CHUCHERÍAS. (Glosario técnico: «true» significa activado y «false» desactivado.)
escoptions_meanlizards_text|Activar lagartos (extra) agresivos
escoptions_meanlizards_desc|Los lagartos aparecerán con la agresión al tope al jugar con el Escolta (y se dirigirán a él al verlo)... puede que esto no suceda en sesiones cooperativas.
escoptions_vengefullizards_text|Activar lagartos vengativos
[Beta]| [Beta]
escoptions_vengefullizards_desc|Los lagartos, tras matar demasiados de ellos, puede que empiecen a buscar al Escolta.
escoptions_carry_text|Multiplicador de fuerza de levantamiento
escoptions_carry_desc|Determina cuán pesado (x veces el peso del Escolta) puede llevar el Escolta un objeto antes de ser cargado.
escoptions_dropkick_text|Multiplicador de empuje de la patada voladora
escoptions_dropkick_desc|Cuánto empuje causa la patada voladora del Escolta. Ten en cuenta que esto solo afecta a criaturas que no sean resilientes a los empujes.
escoptions_hype_text|Mecánica de Hipercombate
escoptions_longwall_text|Salto largo de pared
escoptions_longwall_desc|Permite al Escolta lanzarse (mantener pulsado saltar), pero por las paredes también. Afectará cómo se perciben los saltos de pared. Recomendable desactivarlo.
escoptions_flippounce_text|Lanzarse con volteretas
escoptions_flippounce_desc|Permite al Escolta hacer una voltereta al lanzarse y un Salto de Súper Voltereta de Pared™ al mantener pulsada una diagonal contra la pared y pulsar saltar.
escoptions_lizgrab_text|Agarrar lagartos aturdidos
escoptions_lizgrab_desc|Permite al Escolta agarrar lagartos aturdidos y causar violencia en ellos.
escoptions_superspear_text|Súper lanzas
escoptions_superspear_desc|Hace una técnica de movimiento adicional al arrojar lanzas para facilitar los combos.
escoptions_pupsforeveryone_text|Cría de gato-babosa del Escolta desbloqueada
escoptions_pupsforeveryone_desc|Permitir a los demás estilos del Escolta tener a la cría de gato-babosa. ADVERTENCIA: Puede provocar errores.
default_desc|El básico, con algunos trucos bajo la manga para no quedarse atrás.
brawler_desc|Cambia a un estilo de lucha cuerpo a cuerpo con puñetazos y puñaladas.
deflector_desc|Bloquea ataques deslizándote, rodando o haciendo una voltereta para sobrevivir.
escapist_new_desc|Escapa de cualquier situación con destreza y estilo. Deja en ridículo a los depredadores.
escapist_desc|Escapa de las capturas, incluso con las manos vacías (mantener pulsado lanzar).
railgunner_desc|Empuña dos armas del mismo tipo para mejorar tus ataques.
speedster_desc|Mantente en movimiento para cargar velocidad y luego deslízate para liberarla.
